"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"747","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","7","58003","0.0-4.0-1.0","505","20.1.2020","14:43:24"
"642","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","9","60284","0.0-4.0-1.1","505","20.1.2020","14:43:24"
"1631","<span style=""color:purple"">Glas</span>","87","test","d","2","2","2","0","html-keyboard-response","11","62567","0.0-4.0-1.2","505","20.1.2020","14:43:24"
"696","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","14","68894","0.0-4.0-1.3","505","20.1.2020","14:43:24"
"567","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","16","71190","0.0-4.0-1.4","505","20.1.2020","14:43:24"
"548","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","18","73486","0.0-4.0-1.5","505","20.1.2020","14:43:24"
"613","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","20","75783","0.0-4.0-1.6","505","20.1.2020","14:43:24"
"580","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","22","78080","0.0-4.0-1.7","505","20.1.2020","14:43:24"
"520","<span style=""color:blue"">Zerstörung</span>","65","main","a","1","11","0","1","html-keyboard-response","25","85546","0.0-6.0-1.0","505","20.1.2020","14:43:24"
"791","<span style=""color:green"">Schrank</span>","87","main","w","2","10","1","1","html-keyboard-response","27","87827","0.0-6.0-1.1","505","20.1.2020","14:43:24"
"531","<span style=""color:purple"">Papier</span>","68","main","d","2","2","2","1","html-keyboard-response","29","90123","0.0-6.0-1.2","505","20.1.2020","14:43:24"
"385","<span style=""color:blue"">Schuhe</span>","65","main","a","2","9","0","1","html-keyboard-response","31","92405","0.0-6.0-1.3","505","20.1.2020","14:43:24"
"418","<span style=""color:blue"">Haus</span>","65","main","a","2","3","0","1","html-keyboard-response","33","94700","0.0-6.0-1.4","505","20.1.2020","14:43:24"
"436","<span style=""color:blue"">Stress</span>","65","main","a","1","8","0","1","html-keyboard-response","35","96966","0.0-6.0-1.5","505","20.1.2020","14:43:24"
"565","<span style=""color:purple"">Prüfung</span>","68","main","d","1","10","2","1","html-keyboard-response","37","99279","0.0-6.0-1.6","505","20.1.2020","14:43:24"
"423","<span style=""color:green"">Grab</span>","65","main","w","1","6","1","0","html-keyboard-response","39","101559","0.0-6.0-1.7","505","20.1.2020","14:43:24"
"747","<span style=""color:green"">Fahrzeug</span>","87","main","w","2","1","1","1","html-keyboard-response","42","107870","0.0-6.0-1.8","505","20.1.2020","14:43:24"
"625","<span style=""color:purple"">Stein</span>","68","main","d","2","8","2","1","html-keyboard-response","44","110166","0.0-6.0-1.9","505","20.1.2020","14:43:24"
"961","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","46","112463","0.0-6.0-1.10","505","20.1.2020","14:43:24"
"647","<span style=""color:green"">Flasche</span>","65","main","w","2","13","1","0","html-keyboard-response","48","114737","0.0-6.0-1.11","505","20.1.2020","14:43:24"
"951","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","51","121020","0.0-6.0-1.12","505","20.1.2020","14:43:24"
"541","<span style=""color:blue"">Lampe</span>","65","main","a","2","0","0","1","html-keyboard-response","53","123318","0.0-6.0-1.13","505","20.1.2020","14:43:24"
"857","<span style=""color:blue"">Fenster</span>","65","main","a","2","15","0","1","html-keyboard-response","55","125614","0.0-6.0-1.14","505","20.1.2020","14:43:24"
"1023","<span style=""color:green"">Anker</span>","87","main","w","2","4","1","1","html-keyboard-response","57","127911","0.0-6.0-1.15","505","20.1.2020","14:43:24"
"622","<span style=""color:purple"">Schal</span>","68","main","d","2","14","2","1","html-keyboard-response","59","130223","0.0-6.0-1.16","505","20.1.2020","14:43:24"
"696","<span style=""color:green"">Hunger</span>","87","main","w","1","12","1","1","html-keyboard-response","61","132487","0.0-6.0-1.17","505","20.1.2020","14:43:24"
"447","<span style=""color:blue"">Tod</span>","65","main","a","1","5","0","1","html-keyboard-response","63","134784","0.0-6.0-1.18","505","20.1.2020","14:43:24"
"890","<span style=""color:purple"">Diebstahl</span>","68","main","d","1","1","2","1","html-keyboard-response","65","137080","0.0-6.0-1.19","505","20.1.2020","14:43:24"
"498","<span style=""color:purple"">Schulden</span>","68","main","d","1","7","2","1","html-keyboard-response","67","139377","0.0-6.0-1.20","505","20.1.2020","14:43:24"
"590","<span style=""color:blue"">Pflanze</span>","65","main","a","2","6","0","1","html-keyboard-response","69","141687","0.0-6.0-1.21","505","20.1.2020","14:43:24"
"815","<span style=""color:green"">Ekel</span>","87","main","w","1","9","1","1","html-keyboard-response","71","143985","0.0-6.0-1.22","505","20.1.2020","14:43:24"
"640","<span style=""color:blue"">Bombe</span>","65","main","a","1","14","0","1","html-keyboard-response","73","146265","0.0-6.0-1.23","505","20.1.2020","14:43:24"
"483","<span style=""color:blue"">Stadt</span>","65","main","a","2","12","0","1","html-keyboard-response","75","148562","0.0-6.0-1.24","505","20.1.2020","14:43:24"
"580","<span style=""color:green"">Mord</span>","87","main","w","1","0","1","1","html-keyboard-response","77","150858","0.0-6.0-1.25","505","20.1.2020","14:43:24"
"625","<span style=""color:green"">Straße</span>","87","main","w","2","7","1","1","html-keyboard-response","79","153169","0.0-6.0-1.26","505","20.1.2020","14:43:24"
"507","<span style=""color:purple"">Tür</span>","68","main","d","2","11","2","1","html-keyboard-response","81","155451","0.0-6.0-1.27","505","20.1.2020","14:43:24"
"618","<span style=""color:blue"">Kälte</span>","65","main","a","1","2","0","1","html-keyboard-response","83","157731","0.0-6.0-1.28","505","20.1.2020","14:43:24"
"757","<span style=""color:green"">Panik</span>","87","main","w","1","3","1","1","html-keyboard-response","85","160012","0.0-6.0-1.29","505","20.1.2020","14:43:24"
"570","<span style=""color:purple"">Krieg</span>","68","main","d","1","4","2","1","html-keyboard-response","87","162309","0.0-6.0-1.30","505","20.1.2020","14:43:24"
"585","<span style=""color:purple"">Stuhl</span>","68","main","d","2","5","2","1","html-keyboard-response","89","164589","0.0-6.0-1.31","505","20.1.2020","14:43:24"
