"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"999","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","7","42569","0.0-4.0-1.0","705","14.1.2020","22:03:49"
"817","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","9","44821","0.0-4.0-1.1","705","14.1.2020","22:03:49"
"763","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","11","47073","0.0-4.0-1.2","705","14.1.2020","22:03:49"
"650","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","13","49326","0.0-4.0-1.3","705","14.1.2020","22:03:49"
"742","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","15","51578","0.0-4.0-1.4","705","14.1.2020","22:03:49"
"576","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","17","53831","0.0-4.0-1.5","705","14.1.2020","22:03:49"
"821","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","19","56084","0.0-4.0-1.6","705","14.1.2020","22:03:49"
"609","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","21","58336","0.0-4.0-1.7","705","14.1.2020","22:03:49"
"744","<span style=""color:green"">Fenster</span>","87","main","w","2","13","1","1","html-keyboard-response","24","61575","0.0-6.0-1.0","705","14.1.2020","22:03:49"
"559","<span style=""color:green"">Tür</span>","87","main","w","2","7","1","1","html-keyboard-response","26","63825","0.0-6.0-1.1","705","14.1.2020","22:03:49"
"708","<span style=""color:purple"">Stress</span>","68","main","d","1","7","2","1","html-keyboard-response","28","66076","0.0-6.0-1.2","705","14.1.2020","22:03:49"
"600","<span style=""color:blue"">Stuhl</span>","65","main","a","2","3","0","1","html-keyboard-response","30","68328","0.0-6.0-1.3","705","14.1.2020","22:03:49"
"784","<span style=""color:purple"">Schrank</span>","68","main","d","2","8","2","1","html-keyboard-response","32","70580","0.0-6.0-1.4","705","14.1.2020","22:03:49"
"535","<span style=""color:purple"">Schuhe</span>","68","main","d","2","14","2","1","html-keyboard-response","34","72832","0.0-6.0-1.5","705","14.1.2020","22:03:49"
"572","<span style=""color:blue"">Stadt</span>","65","main","a","2","9","0","1","html-keyboard-response","36","75085","0.0-6.0-1.6","705","14.1.2020","22:03:49"
"552","<span style=""color:blue"">Bombe</span>","65","main","a","1","14","0","1","html-keyboard-response","38","77337","0.0-6.0-1.7","705","14.1.2020","22:03:49"
"989","<span style=""color:blue"">Prüfung</span>","65","main","a","1","8","0","1","html-keyboard-response","40","79588","0.0-6.0-1.8","705","14.1.2020","22:03:49"
"1050","<span style=""color:blue"">Hunger</span>","65","main","a","1","11","0","1","html-keyboard-response","42","81840","0.0-6.0-1.9","705","14.1.2020","22:03:49"
"880","<span style=""color:green"">Stein</span>","87","main","w","2","4","1","1","html-keyboard-response","44","84090","0.0-6.0-1.10","705","14.1.2020","22:03:49"
"1058","<span style=""color:green"">Grab</span>","87","main","w","1","0","1","1","html-keyboard-response","46","86342","0.0-6.0-1.11","705","14.1.2020","22:03:49"
"1187","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","48","88594","0.0-6.0-1.12","705","14.1.2020","22:03:49"
"747","<span style=""color:blue"">Ekel</span>","65","main","a","1","5","0","1","html-keyboard-response","50","90845","0.0-6.0-1.13","705","14.1.2020","22:03:49"
"881","<span style=""color:blue"">Flasche</span>","65","main","a","2","12","0","1","html-keyboard-response","52","93097","0.0-6.0-1.14","705","14.1.2020","22:03:49"
"780","<span style=""color:purple"">Pflanze</span>","68","main","d","2","5","2","1","html-keyboard-response","54","95349","0.0-6.0-1.15","705","14.1.2020","22:03:49"
"552","<span style=""color:purple"">Kälte</span>","68","main","d","1","10","2","1","html-keyboard-response","56","97599","0.0-6.0-1.16","705","14.1.2020","22:03:49"
"813","<span style=""color:blue"">Schal</span>","87","main","a","2","15","0","0","html-keyboard-response","58","99850","0.0-6.0-1.17","705","14.1.2020","22:03:49"
"795","<span style=""color:green"">Panik</span>","87","main","w","1","12","1","1","html-keyboard-response","61","106102","0.0-6.0-1.18","705","14.1.2020","22:03:49"
"992","<span style=""color:green"">Mord</span>","87","main","w","1","3","1","1","html-keyboard-response","63","108352","0.0-6.0-1.19","705","14.1.2020","22:03:49"
"822","<span style=""color:purple"">Fahrzeug</span>","68","main","d","2","11","2","1","html-keyboard-response","65","110602","0.0-6.0-1.20","705","14.1.2020","22:03:49"
"939","<span style=""color:blue"">Lampe</span>","65","main","a","2","6","0","1","html-keyboard-response","67","112853","0.0-6.0-1.21","705","14.1.2020","22:03:49"
"992","<span style=""color:purple"">Schulden</span>","68","main","d","1","4","2","1","html-keyboard-response","69","115104","0.0-6.0-1.22","705","14.1.2020","22:03:49"
"826","<span style=""color:green"">Zerstörung</span>","87","main","w","1","9","1","1","html-keyboard-response","71","117356","0.0-6.0-1.23","705","14.1.2020","22:03:49"
"1000","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","73","119609","0.0-6.0-1.24","705","14.1.2020","22:03:49"
"883","<span style=""color:blue"">Tod</span>","65","main","a","1","2","0","1","html-keyboard-response","75","121863","0.0-6.0-1.25","705","14.1.2020","22:03:49"
"637","<span style=""color:blue"">Papier</span>","65","main","a","2","0","0","1","html-keyboard-response","77","124114","0.0-6.0-1.26","705","14.1.2020","22:03:49"
"659","<span style=""color:green"">Straße</span>","87","main","w","2","10","1","1","html-keyboard-response","79","126365","0.0-6.0-1.27","705","14.1.2020","22:03:49"
"982","<span style=""color:green"">Diebstahl</span>","87","main","w","1","6","1","1","html-keyboard-response","81","128616","0.0-6.0-1.28","705","14.1.2020","22:03:49"
"491","<span style=""color:green"">Haus</span>","87","main","w","2","1","1","1","html-keyboard-response","83","130868","0.0-6.0-1.29","705","14.1.2020","22:03:49"
"618","<span style=""color:purple"">Anker</span>","68","main","d","2","2","2","1","html-keyboard-response","85","133119","0.0-6.0-1.30","705","14.1.2020","22:03:49"
"604","<span style=""color:purple"">Krieg</span>","68","main","d","1","1","2","1","html-keyboard-response","87","135373","0.0-6.0-1.31","705","14.1.2020","22:03:49"
