"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"1500","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","7","71936","0.0-4.0-1.0","605","1/13/2020","9:43:35 PM"
"1064","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","9","74198","0.0-4.0-1.1","605","1/13/2020","9:43:35 PM"
"649","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","11","76450","0.0-4.0-1.2","605","1/13/2020","9:43:35 PM"
"731","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","13","78705","0.0-4.0-1.3","605","1/13/2020","9:43:35 PM"
"475","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","15","80959","0.0-4.0-1.4","605","1/13/2020","9:43:35 PM"
"833","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","17","83211","0.0-4.0-1.5","605","1/13/2020","9:43:35 PM"
"792","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","19","85466","0.0-4.0-1.6","605","1/13/2020","9:43:35 PM"
"573","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","21","87719","0.0-4.0-1.7","605","1/13/2020","9:43:35 PM"
"752","<span style=""color:purple"">Pflanze</span>","68","main","d","2","8","2","1","html-keyboard-response","24","100657","0.0-6.0-1.0","605","1/13/2020","9:43:35 PM"
"467","<span style=""color:blue"">Tür</span>","65","main","a","2","15","0","1","html-keyboard-response","26","102913","0.0-6.0-1.1","605","1/13/2020","9:43:35 PM"
"439","<span style=""color:green"">Schrank</span>","87","main","w","2","10","1","1","html-keyboard-response","28","105173","0.0-6.0-1.2","605","1/13/2020","9:43:35 PM"
"586","<span style=""color:purple"">Schal</span>","65","main","d","2","14","2","0","html-keyboard-response","30","107426","0.0-6.0-1.3","605","1/13/2020","9:43:35 PM"
"724","<span style=""color:purple"">Fahrzeug</span>","68","main","d","2","5","2","1","html-keyboard-response","33","113686","0.0-6.0-1.4","605","1/13/2020","9:43:35 PM"
"612","<span style=""color:purple"">Fenster</span>","68","main","d","2","11","2","1","html-keyboard-response","35","115939","0.0-6.0-1.5","605","1/13/2020","9:43:35 PM"
"933","<span style=""color:green"">Schulden</span>","87","main","w","1","0","1","1","html-keyboard-response","37","118196","0.0-6.0-1.6","605","1/13/2020","9:43:35 PM"
"551","<span style=""color:blue"">Hunger</span>","65","main","a","1","11","0","1","html-keyboard-response","39","120450","0.0-6.0-1.7","605","1/13/2020","9:43:35 PM"
"766","<span style=""color:green"">Stuhl</span>","87","main","w","2","1","1","1","html-keyboard-response","41","122704","0.0-6.0-1.8","605","1/13/2020","9:43:35 PM"
"878","<span style=""color:green"">Bombe</span>","87","main","w","1","3","1","1","html-keyboard-response","43","124959","0.0-6.0-1.9","605","1/13/2020","9:43:35 PM"
"920","<span style=""color:purple"">Tod</span>","68","main","d","1","13","2","1","html-keyboard-response","45","127212","0.0-6.0-1.10","605","1/13/2020","9:43:35 PM"
"530","<span style=""color:purple"">Zerstörung</span>","68","main","d","1","4","2","1","html-keyboard-response","47","129465","0.0-6.0-1.11","605","1/13/2020","9:43:35 PM"
"648","<span style=""color:purple"">Kälte</span>","68","main","d","1","7","2","1","html-keyboard-response","49","131716","0.0-6.0-1.12","605","1/13/2020","9:43:35 PM"
"561","<span style=""color:purple"">Grab</span>","68","main","d","1","1","2","1","html-keyboard-response","51","133971","0.0-6.0-1.13","605","1/13/2020","9:43:35 PM"
"579","<span style=""color:blue"">Haus</span>","65","main","a","2","0","0","1","html-keyboard-response","53","136223","0.0-6.0-1.14","605","1/13/2020","9:43:35 PM"
"475","<span style=""color:green"">Diebstahl</span>","87","main","w","1","12","1","1","html-keyboard-response","55","138478","0.0-6.0-1.15","605","1/13/2020","9:43:35 PM"
"675","<span style=""color:green"">Prüfung</span>","87","main","w","1","15","1","1","html-keyboard-response","57","140732","0.0-6.0-1.16","605","1/13/2020","9:43:35 PM"
"901","<span style=""color:blue"">Anker</span>","65","main","a","2","9","0","1","html-keyboard-response","59","142986","0.0-6.0-1.17","605","1/13/2020","9:43:35 PM"
"813","<span style=""color:blue"">Straße</span>","65","main","a","2","3","0","1","html-keyboard-response","61","145241","0.0-6.0-1.18","605","1/13/2020","9:43:35 PM"
"534","<span style=""color:blue"">Stress</span>","65","main","a","1","14","0","1","html-keyboard-response","63","147494","0.0-6.0-1.19","605","1/13/2020","9:43:35 PM"
"807","<span style=""color:purple"">Stadt</span>","68","main","d","2","2","2","1","html-keyboard-response","65","149746","0.0-6.0-1.20","605","1/13/2020","9:43:35 PM"
"902","<span style=""color:blue"">Ekel</span>","65","main","a","1","2","0","1","html-keyboard-response","67","152000","0.0-6.0-1.21","605","1/13/2020","9:43:35 PM"
"498","<span style=""color:blue"">Flasche</span>","65","main","a","2","6","0","1","html-keyboard-response","69","154261","0.0-6.0-1.22","605","1/13/2020","9:43:35 PM"
"473","<span style=""color:blue"">Stein</span>","65","main","a","2","12","0","1","html-keyboard-response","71","156513","0.0-6.0-1.23","605","1/13/2020","9:43:35 PM"
"565","<span style=""color:green"">Panik</span>","87","main","w","1","6","1","1","html-keyboard-response","73","158766","0.0-6.0-1.24","605","1/13/2020","9:43:35 PM"
"510","<span style=""color:green"">Lampe</span>","87","main","w","2","13","1","1","html-keyboard-response","75","161020","0.0-6.0-1.25","605","1/13/2020","9:43:35 PM"
"418","<span style=""color:green"">Papier</span>","87","main","w","2","4","1","1","html-keyboard-response","77","163274","0.0-6.0-1.26","605","1/13/2020","9:43:35 PM"
"606","<span style=""color:blue"">Ebola</span>","65","main","a","1","8","0","1","html-keyboard-response","79","165529","0.0-6.0-1.27","605","1/13/2020","9:43:35 PM"
"741","<span style=""color:green"">Mord</span>","65","main","w","1","9","1","0","html-keyboard-response","81","167783","0.0-6.0-1.28","605","1/13/2020","9:43:35 PM"
"775","<span style=""color:purple"">Krankheit</span>","68","main","d","1","10","2","1","html-keyboard-response","84","174041","0.0-6.0-1.29","605","1/13/2020","9:43:35 PM"
