"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"829","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","7","24202","0.0-4.0-1.0","403","20.1.2020","13:38:52"
"622","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","9","26458","0.0-4.0-1.1","403","20.1.2020","13:38:52"
"557","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","11","28717","0.0-4.0-1.2","403","20.1.2020","13:38:52"
"620","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","13","30972","0.0-4.0-1.3","403","20.1.2020","13:38:52"
"563","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","15","33225","0.0-4.0-1.4","403","20.1.2020","13:38:52"
"740","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","17","35478","0.0-4.0-1.5","403","20.1.2020","13:38:52"
"505","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","19","37732","0.0-4.0-1.6","403","20.1.2020","13:38:52"
"455","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","21","39987","0.0-4.0-1.7","403","20.1.2020","13:38:52"
"623","<span style=""color:blue"">Fahrzeug</span>","65","main","a","2","0","0","1","html-keyboard-response","24","43474","0.0-6.0-1.0","403","20.1.2020","13:38:52"
"537","<span style=""color:blue"">Lampe</span>","65","main","a","2","6","0","1","html-keyboard-response","26","45727","0.0-6.0-1.1","403","20.1.2020","13:38:52"
"629","<span style=""color:purple"">Anker</span>","68","main","d","2","2","2","1","html-keyboard-response","28","47980","0.0-6.0-1.2","403","20.1.2020","13:38:52"
"418","<span style=""color:purple"">Straße</span>","68","main","d","2","11","2","1","html-keyboard-response","30","50234","0.0-6.0-1.3","403","20.1.2020","13:38:52"
