"rt,""stimulus"",""key_press"",""test_part"",""expected_response"",""v_cond"",""v_wordNum"",""v_colNum"",""v_correct"",""trial_type"",""trial_index"",""time_elapsed"",""internal_node_id"",""id"",""date"",""time""";
"674,""<span";"style=""""color:purple"""">Glas</span>"",""68"",""test"",""d"",""2"",""2"",""2"",""1"",""html-keyboard-response"",""7"",""8652"",""0.0-4.0-1.0"",""706"",""14.1.2020"",""22:06:17"""
"641,""<span";"style=""""color:green"""">Würfel</span>"",""87"",""test"",""w"",""2"",""1"",""1"",""1"",""html-keyboard-response"",""9"",""10907"",""0.0-4.0-1.1"",""706"",""14.1.2020"",""22:06:17"""
"526,""<span";"style=""""color:blue"""">Unglück</span>"",""65"",""test"",""a"",""1"",""3"",""0"",""1"",""html-keyboard-response"",""11"",""13162"",""0.0-4.0-1.2"",""706"",""14.1.2020"",""22:06:17"""
"665,""<span";"style=""""color:green"""">Trauer</span>"",""87"",""test"",""w"",""1"",""1"",""1"",""1"",""html-keyboard-response"",""13"",""15415"",""0.0-4.0-1.3"",""706"",""14.1.2020"",""22:06:17"""
"821,""<span";"style=""""color:blue"""">Stift</span>"",""65"",""test"",""a"",""2"",""3"",""0"",""1"",""html-keyboard-response"",""15"",""17666"",""0.0-4.0-1.4"",""706"",""14.1.2020"",""22:06:17"""
"506,""<span";"style=""""color:blue"""">Tuch</span>"",""65"",""test"",""a"",""2"",""0"",""0"",""1"",""html-keyboard-response"",""17"",""19919"",""0.0-4.0-1.5"",""706"",""14.1.2020"",""22:06:17"""
"468,""<span";"style=""""color:blue"""">Unfall</span>"",""65"",""test"",""a"",""1"",""0"",""0"",""1"",""html-keyboard-response"",""19"",""22172"",""0.0-4.0-1.6"",""706"",""14.1.2020"",""22:06:17"""
"559,""<span";"style=""""color:purple"""">Verspätung</span>"",""68"",""test"",""d"",""1"",""2"",""2"",""1"",""html-keyboard-response"",""21"",""24426"",""0.0-4.0-1.7"",""706"",""14.1.2020"",""22:06:17"""
"611,""<span";"style=""""color:purple"""">Hunger</span>"",""68"",""main"",""d"",""1"",""13"",""2"",""1"",""html-keyboard-response"",""24"",""27555"",""0.0-6.0-1.0"",""706"",""14.1.2020"",""22:06:17"""
"575,""<span";"style=""""color:blue"""">Tod</span>"",""65"",""main"",""a"",""1"",""2"",""0"",""1"",""html-keyboard-response"",""26"",""29806"",""0.0-6.0-1.1"",""706"",""14.1.2020"",""22:06:17"""
"445,""<span";"style=""""color:green"""">Schrank</span>"",""87"",""main"",""w"",""2"",""1"",""1"",""1"",""html-keyboard-response"",""28"",""32058"",""0.0-6.0-1.2"",""706"",""14.1.2020"",""22:06:17"""
"577,""<span";"style=""""color:green"""">Zerstörung</span>"",""87"",""main"",""w"",""1"",""12"",""1"",""1"",""html-keyboard-response"",""30"",""34312"",""0.0-6.0-1.3"",""706"",""14.1.2020"",""22:06:17"""
"499,""<span";"style=""""color:blue"""">Kälte</span>"",""65"",""main"",""a"",""1"",""11"",""0"",""1"",""html-keyboard-response"",""32"",""36563"",""0.0-6.0-1.4"",""706"",""14.1.2020"",""22:06:17"""
"456,""<span";"style=""""color:green"""">Prüfung</span>"",""87"",""main"",""w"",""1"",""6"",""1"",""1"",""html-keyboard-response"",""34"",""38815"",""0.0-6.0-1.5"",""706"",""14.1.2020"",""22:06:17"""
"852,""<span";"style=""""color:green"""">Anker</span>"",""87"",""main"",""w"",""2"",""4"",""1"",""1"",""html-keyboard-response"",""36"",""41067"",""0.0-6.0-1.6"",""706"",""14.1.2020"",""22:06:17"""
"665,""<span";"style=""""color:purple"""">Ekel</span>"",""68"",""main"",""d"",""1"",""7"",""2"",""1"",""html-keyboard-response"",""38"",""43318"",""0.0-6.0-1.7"",""706"",""14.1.2020"",""22:06:17"""
"614,""<span";"style=""""color:blue"""">Stuhl</span>"",""65"",""main"",""a"",""2"",""3"",""0"",""1"",""html-keyboard-response"",""40"",""45570"",""0.0-6.0-1.8"",""706"",""14.1.2020"",""22:06:17"""
"601,""<span";"style=""""color:blue"""">Fahrzeug</span>"",""87"",""main"",""a"",""2"",""6"",""0"",""0"",""html-keyboard-response"",""42"",""47821"",""0.0-6.0-1.9"",""706"",""14.1.2020"",""22:06:17"""
"532,""<span";"style=""""color:blue"""">Papier</span>"",""65"",""main"",""a"",""2"",""0"",""0"",""1"",""html-keyboard-response"",""45"",""54075"",""0.0-6.0-1.10"",""706"",""14.1.2020"",""22:06:17"""
"440,""<span";"style=""""color:green"""">Straße</span>"",""87"",""main"",""w"",""2"",""10"",""1"",""1"",""html-keyboard-response"",""47"",""56329"",""0.0-6.0-1.11"",""706"",""14.1.2020"",""22:06:17"""
"561,""<span";"style=""""color:purple"""">Schulden</span>"",""68"",""main"",""d"",""1"",""4"",""2"",""1"",""html-keyboard-response"",""49"",""58581"",""0.0-6.0-1.12"",""706"",""14.1.2020"",""22:06:17"""
"565,""<span";"style=""""color:blue"""">Bombe</span>"",""65"",""main"",""a"",""1"",""14"",""0"",""1"",""html-keyboard-response"",""51"",""60834"",""0.0-6.0-1.13"",""706"",""14.1.2020"",""22:06:17"""
"521,""<span";"style=""""color:blue"""">Stress</span>"",""65"",""main"",""a"",""1"",""5"",""0"",""1"",""html-keyboard-response"",""53"",""63084"",""0.0-6.0-1.14"",""706"",""14.1.2020"",""22:06:17"""
"606,""<span";"style=""""color:green"""">Grab</span>"",""87"",""main"",""w"",""1"",""3"",""1"",""1"",""html-keyboard-response"",""55"",""65336"",""0.0-6.0-1.15"",""706"",""14.1.2020"",""22:06:17"""
