"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"470","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","7","115663","0.0-4.0-1.0","702","6.1.2020","16:05:25"
"687","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","9","117917","0.0-4.0-1.1","702","6.1.2020","16:05:25"
"459","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","11","120171","0.0-4.0-1.2","702","6.1.2020","16:05:25"
"564","<span style=""color:blue"">Unglück</span>","87","test","a","1","3","0","0","html-keyboard-response","13","122424","0.0-4.0-1.3","702","6.1.2020","16:05:25"
"685","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","16","128679","0.0-4.0-1.4","702","6.1.2020","16:05:25"
"542","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","18","130931","0.0-4.0-1.5","702","6.1.2020","16:05:25"
"437","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","20","133184","0.0-4.0-1.6","702","6.1.2020","16:05:25"
"532","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","22","135438","0.0-4.0-1.7","702","6.1.2020","16:05:25"
"495","<span style=""color:blue"">Prüfung</span>","65","main","a","1","11","0","1","html-keyboard-response","25","158302","0.0-6.0-1.0","702","6.1.2020","16:05:25"
"473","<span style=""color:blue"">Zerstörung</span>","65","main","a","1","8","0","1","html-keyboard-response","27","160556","0.0-6.0-1.1","702","6.1.2020","16:05:25"
"444","<span style=""color:blue"">Krankheit</span>","65","main","a","1","14","0","1","html-keyboard-response","29","162809","0.0-6.0-1.2","702","6.1.2020","16:05:25"
"652","<span style=""color:purple"">Diebstahl</span>","87","main","d","1","7","2","0","html-keyboard-response","31","165063","0.0-6.0-1.3","702","6.1.2020","16:05:25"
"576","<span style=""color:blue"">Fahrzeug</span>","65","main","a","2","9","0","1","html-keyboard-response","34","171317","0.0-6.0-1.4","702","6.1.2020","16:05:25"
"491","<span style=""color:green"">Hunger</span>","87","main","w","1","9","1","1","html-keyboard-response","36","173569","0.0-6.0-1.5","702","6.1.2020","16:05:25"
"534","<span style=""color:purple"">Panik</span>","68","main","d","1","13","2","1","html-keyboard-response","38","175820","0.0-6.0-1.6","702","6.1.2020","16:05:25"
"683","<span style=""color:green"">Stadt</span>","87","main","w","2","10","1","1","html-keyboard-response","40","178074","0.0-6.0-1.7","702","6.1.2020","16:05:25"
"462","<span style=""color:blue"">Haus</span>","65","main","a","2","0","0","1","html-keyboard-response","42","180326","0.0-6.0-1.8","702","6.1.2020","16:05:25"
"600","<span style=""color:green"">Kälte</span>","87","main","w","1","12","1","1","html-keyboard-response","44","182580","0.0-6.0-1.9","702","6.1.2020","16:05:25"
"514","<span style=""color:blue"">Mord</span>","65","main","a","1","2","0","1","html-keyboard-response","46","184832","0.0-6.0-1.10","702","6.1.2020","16:05:25"
"464","<span style=""color:blue"">Ekel</span>","87","main","a","1","5","0","0","html-keyboard-response","48","187083","0.0-6.0-1.11","702","6.1.2020","16:05:25"
"683","<span style=""color:green"">Fenster</span>","87","main","w","2","13","1","1","html-keyboard-response","51","193336","0.0-6.0-1.12","702","6.1.2020","16:05:25"
"527","<span style=""color:green"">Schulden</span>","87","main","w","1","3","1","1","html-keyboard-response","53","195591","0.0-6.0-1.13","702","6.1.2020","16:05:25"
"601","<span style=""color:blue"">Stein</span>","65","main","a","2","6","0","1","html-keyboard-response","55","197841","0.0-6.0-1.14","702","6.1.2020","16:05:25"
"799","<span style=""color:purple"">Stress</span>","68","main","d","1","4","2","1","html-keyboard-response","57","200093","0.0-6.0-1.15","702","6.1.2020","16:05:25"
"587","<span style=""color:purple"">Stuhl</span>","68","main","d","2","5","2","1","html-keyboard-response","59","202347","0.0-6.0-1.16","702","6.1.2020","16:05:25"
"590","<span style=""color:blue"">Flasche</span>","65","main","a","2","12","0","1","html-keyboard-response","61","204599","0.0-6.0-1.17","702","6.1.2020","16:05:25"
"592","<span style=""color:purple"">Schal</span>","68","main","d","2","14","2","1","html-keyboard-response","63","206851","0.0-6.0-1.18","702","6.1.2020","16:05:25"
"478","<span style=""color:green"">Schrank</span>","87","main","w","2","7","1","1","html-keyboard-response","65","209102","0.0-6.0-1.19","702","6.1.2020","16:05:25"
"658","<span style=""color:purple"">Krieg</span>","68","main","d","1","1","2","1","html-keyboard-response","67","211353","0.0-6.0-1.20","702","6.1.2020","16:05:25"
"501","<span style=""color:green"">Pflanze</span>","87","main","w","2","4","1","1","html-keyboard-response","69","213608","0.0-6.0-1.21","702","6.1.2020","16:05:25"
"568","<span style=""color:green"">Tod</span>","87","main","w","1","0","1","1","html-keyboard-response","71","215861","0.0-6.0-1.22","702","6.1.2020","16:05:25"
"835","<span style=""color:purple"">Tür</span>","68","main","d","2","11","2","1","html-keyboard-response","73","218112","0.0-6.0-1.23","702","6.1.2020","16:05:25"
"661","<span style=""color:purple"">Papier</span>","68","main","d","2","2","2","1","html-keyboard-response","75","220364","0.0-6.0-1.24","702","6.1.2020","16:05:25"
"571","<span style=""color:green"">Grab</span>","87","main","w","1","6","1","1","html-keyboard-response","77","222617","0.0-6.0-1.25","702","6.1.2020","16:05:25"
