"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"null","<span style=""color:green"">Trauer</span>","-999","test","w","1","1","1","-999","html-keyboard-response","7","75516","0.0-4.0-1.0","103","13.1.2020","13:22:09"
"949","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","10","81770","0.0-4.0-1.1","103","13.1.2020","13:22:09"
"658","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","12","84024","0.0-4.0-1.2","103","13.1.2020","13:22:09"
"1018","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","14","86279","0.0-4.0-1.3","103","13.1.2020","13:22:09"
"794","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","16","88533","0.0-4.0-1.4","103","13.1.2020","13:22:09"
"535","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","18","90785","0.0-4.0-1.5","103","13.1.2020","13:22:09"
"595","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","20","93040","0.0-4.0-1.6","103","13.1.2020","13:22:09"
"662","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","22","95291","0.0-4.0-1.7","103","13.1.2020","13:22:09"
"679","<span style=""color:green"">Stuhl</span>","87","main","w","2","7","1","1","html-keyboard-response","25","104839","0.0-6.0-1.0","103","13.1.2020","13:22:09"
"508","<span style=""color:blue"">Zerstörung</span>","65","main","a","1","8","0","1","html-keyboard-response","27","107092","0.0-6.0-1.1","103","13.1.2020","13:22:09"
"515","<span style=""color:green"">Anker</span>","87","main","w","2","1","1","1","html-keyboard-response","29","109346","0.0-6.0-1.2","103","13.1.2020","13:22:09"
"535","<span style=""color:blue"">Pflanze</span>","65","main","a","2","3","0","1","html-keyboard-response","31","111600","0.0-6.0-1.3","103","13.1.2020","13:22:09"
"631","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","33","113853","0.0-6.0-1.4","103","13.1.2020","13:22:09"
"785","<span style=""color:green"">Mord</span>","87","main","w","1","0","1","1","html-keyboard-response","35","116107","0.0-6.0-1.5","103","13.1.2020","13:22:09"
"663","<span style=""color:green"">Diebstahl</span>","87","main","w","1","9","1","1","html-keyboard-response","37","118362","0.0-6.0-1.6","103","13.1.2020","13:22:09"
"589","<span style=""color:blue"">Stress</span>","65","main","a","1","5","0","1","html-keyboard-response","39","120618","0.0-6.0-1.7","103","13.1.2020","13:22:09"
"683","<span style=""color:green"">Fahrzeug</span>","87","main","w","2","4","1","1","html-keyboard-response","41","122872","0.0-6.0-1.8","103","13.1.2020","13:22:09"
"590","<span style=""color:blue"">Lampe</span>","65","main","a","2","6","0","1","html-keyboard-response","43","125125","0.0-6.0-1.9","103","13.1.2020","13:22:09"
"596","<span style=""color:green"">Schuhe</span>","87","main","w","2","13","1","1","html-keyboard-response","45","127378","0.0-6.0-1.10","103","13.1.2020","13:22:09"
"576","<span style=""color:blue"">Schrank</span>","65","main","a","2","9","0","1","html-keyboard-response","47","129633","0.0-6.0-1.11","103","13.1.2020","13:22:09"
"484","<span style=""color:green"">Ekel</span>","87","main","w","1","6","1","1","html-keyboard-response","49","131888","0.0-6.0-1.12","103","13.1.2020","13:22:09"
"619","<span style=""color:green"">Ebola</span>","87","main","w","1","12","1","1","html-keyboard-response","51","134144","0.0-6.0-1.13","103","13.1.2020","13:22:09"
"445","<span style=""color:green"">Stadt</span>","87","main","w","2","10","1","1","html-keyboard-response","53","136399","0.0-6.0-1.14","103","13.1.2020","13:22:09"
