"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"1186","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","7","54781","0.0-4.0-1.0","307","7.1.2020","19:28:05"
"603","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","9","57060","0.0-4.0-1.1","307","7.1.2020","19:28:05"
"682","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","11","59341","0.0-4.0-1.2","307","7.1.2020","19:28:05"
"923","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","13","61621","0.0-4.0-1.3","307","7.1.2020","19:28:05"
"529","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","15","63900","0.0-4.0-1.4","307","7.1.2020","19:28:05"
"null","<span style=""color:blue"">Tuch</span>","-999","test","a","2","0","0","-999","html-keyboard-response","17","66171","0.0-4.0-1.5","307","7.1.2020","19:28:05"
"691","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","20","72461","0.0-4.0-1.6","307","7.1.2020","19:28:05"
"739","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","22","74731","0.0-4.0-1.7","307","7.1.2020","19:28:05"
"620","<span style=""color:purple"">Prüfung</span>","68","main","d","1","10","2","1","html-keyboard-response","25","91701","0.0-6.0-1.0","307","7.1.2020","19:28:05"
"424","<span style=""color:green"">Grab</span>","87","main","w","1","3","1","1","html-keyboard-response","27","93986","0.0-6.0-1.1","307","7.1.2020","19:28:05"
"620","<span style=""color:green"">Stress</span>","87","main","w","1","6","1","1","html-keyboard-response","29","96271","0.0-6.0-1.2","307","7.1.2020","19:28:05"
"582","<span style=""color:green"">Stadt</span>","87","main","w","2","10","1","1","html-keyboard-response","31","98541","0.0-6.0-1.3","307","7.1.2020","19:28:05"
"471","<span style=""color:green"">Tür</span>","87","main","w","2","7","1","1","html-keyboard-response","33","100830","0.0-6.0-1.4","307","7.1.2020","19:28:05"
"647","<span style=""color:blue"">Schrank</span>","65","main","a","2","6","0","1","html-keyboard-response","35","103111","0.0-6.0-1.5","307","7.1.2020","19:28:05"
"1253","<span style=""color:green"">Ebola</span>","87","main","w","1","15","1","1","html-keyboard-response","37","105381","0.0-6.0-1.6","307","7.1.2020","19:28:05"
"613","<span style=""color:blue"">Anker</span>","65","main","a","2","0","0","1","html-keyboard-response","39","107661","0.0-6.0-1.7","307","7.1.2020","19:28:05"
"754","<span style=""color:blue"">Diebstahl</span>","65","main","a","1","8","0","1","html-keyboard-response","41","109921","0.0-6.0-1.8","307","7.1.2020","19:28:05"
"607","<span style=""color:green"">Kälte</span>","87","main","w","1","12","1","1","html-keyboard-response","43","112191","0.0-6.0-1.9","307","7.1.2020","19:28:05"
"732","<span style=""color:purple"">Ekel</span>","68","main","d","1","7","2","1","html-keyboard-response","45","114471","0.0-6.0-1.10","307","7.1.2020","19:28:05"
"560","<span style=""color:purple"">Schal</span>","68","main","d","2","11","2","1","html-keyboard-response","47","116751","0.0-6.0-1.11","307","7.1.2020","19:28:05"
"475","<span style=""color:purple"">Hunger</span>","68","main","d","1","13","2","1","html-keyboard-response","49","119031","0.0-6.0-1.12","307","7.1.2020","19:28:05"
"584","<span style=""color:green"">Fahrzeug</span>","87","main","w","2","4","1","1","html-keyboard-response","51","121321","0.0-6.0-1.13","307","7.1.2020","19:28:05"
