"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"834","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","7","103849","0.0-4.0-1.0","101","13.1.2020","13:13:10"
"622","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","9","106102","0.0-4.0-1.1","101","13.1.2020","13:13:10"
"405","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","11","108356","0.0-4.0-1.2","101","13.1.2020","13:13:10"
"422","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","13","110610","0.0-4.0-1.3","101","13.1.2020","13:13:10"
"554","<span style=""color:green"">Würfel</span>","68","test","w","2","1","1","0","html-keyboard-response","15","112863","0.0-4.0-1.4","101","13.1.2020","13:13:10"
"589","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","18","119117","0.0-4.0-1.5","101","13.1.2020","13:13:10"
"640","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","20","121370","0.0-4.0-1.6","101","13.1.2020","13:13:10"
"671","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","22","123624","0.0-4.0-1.7","101","13.1.2020","13:13:10"
"719","<span style=""color:blue"">Anker</span>","65","main","a","2","3","0","1","html-keyboard-response","25","160999","0.0-6.0-1.0","101","13.1.2020","13:13:10"
"437","<span style=""color:green"">Tür</span>","87","main","w","2","7","1","1","html-keyboard-response","27","163251","0.0-6.0-1.1","101","13.1.2020","13:13:10"
"586","<span style=""color:green"">Kälte</span>","87","main","w","1","9","1","1","html-keyboard-response","29","165505","0.0-6.0-1.2","101","13.1.2020","13:13:10"
"489","<span style=""color:blue"">Flasche</span>","65","main","a","2","12","0","1","html-keyboard-response","31","167760","0.0-6.0-1.3","101","13.1.2020","13:13:10"
"574","<span style=""color:green"">Pflanze</span>","68","main","w","2","1","1","0","html-keyboard-response","33","170016","0.0-6.0-1.4","101","13.1.2020","13:13:10"
"709","<span style=""color:purple"">Stress</span>","68","main","d","1","7","2","1","html-keyboard-response","36","176270","0.0-6.0-1.5","101","13.1.2020","13:13:10"
"478","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","38","178523","0.0-6.0-1.6","101","13.1.2020","13:13:10"
"441","<span style=""color:purple"">Fahrzeug</span>","68","main","d","2","5","2","1","html-keyboard-response","40","180775","0.0-6.0-1.7","101","13.1.2020","13:13:10"
"645","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","42","183027","0.0-6.0-1.8","101","13.1.2020","13:13:10"
"518","<span style=""color:green"">Stuhl</span>","87","main","w","2","4","1","1","html-keyboard-response","44","185279","0.0-6.0-1.9","101","13.1.2020","13:13:10"
"438","<span style=""color:green"">Stadt</span>","87","main","w","2","10","1","1","html-keyboard-response","46","187535","0.0-6.0-1.10","101","13.1.2020","13:13:10"
"530","<span style=""color:blue"">Straße</span>","65","main","a","2","9","0","1","html-keyboard-response","48","189789","0.0-6.0-1.11","101","13.1.2020","13:13:10"
"626","<span style=""color:purple"">Mord</span>","68","main","d","1","1","2","1","html-keyboard-response","50","192042","0.0-6.0-1.12","101","13.1.2020","13:13:10"
"501","<span style=""color:green"">Fenster</span>","87","main","w","2","13","1","1","html-keyboard-response","52","194294","0.0-6.0-1.13","101","13.1.2020","13:13:10"
"484","<span style=""color:blue"">Papier</span>","65","main","a","2","0","0","1","html-keyboard-response","54","196548","0.0-6.0-1.14","101","13.1.2020","13:13:10"
"509","<span style=""color:blue"">Stein</span>","65","main","a","2","15","0","1","html-keyboard-response","56","198802","0.0-6.0-1.15","101","13.1.2020","13:13:10"
"694","<span style=""color:purple"">Schuhe</span>","68","main","d","2","14","2","1","html-keyboard-response","58","201056","0.0-6.0-1.16","101","13.1.2020","13:13:10"
