"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"null","<span style=""color:purple"">Verspätung</span>","-999","test","d","1","2","2","-999","html-keyboard-response","7","1678746","0.0-4.0-1.0","304","7.1.2020","18:38:28"
"794","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","10","1685026","0.0-4.0-1.1","304","7.1.2020","18:38:28"
"642","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","12","1687296","0.0-4.0-1.2","304","7.1.2020","18:38:28"
"697","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","14","1689566","0.0-4.0-1.3","304","7.1.2020","18:38:28"
"519","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","16","1691835","0.0-4.0-1.4","304","7.1.2020","18:38:28"
"501","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","18","1694125","0.0-4.0-1.5","304","7.1.2020","18:38:28"
"449","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","20","1696405","0.0-4.0-1.6","304","7.1.2020","18:38:28"
"572","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","22","1698670","0.0-4.0-1.7","304","7.1.2020","18:38:28"
"584","<span style=""color:blue"">Kälte</span>","87","main","a","1","11","0","0","html-keyboard-response","25","1713706","0.0-6.0-1.0","304","7.1.2020","18:38:28"
"696","<span style=""color:purple"">Tür</span>","68","main","d","2","8","2","1","html-keyboard-response","28","1719976","0.0-6.0-1.1","304","7.1.2020","18:38:28"
"651","<span style=""color:blue"">Anker</span>","65","main","a","2","0","0","1","html-keyboard-response","30","1722246","0.0-6.0-1.2","304","7.1.2020","18:38:28"
"512","<span style=""color:blue"">Schulden</span>","65","main","a","1","2","0","1","html-keyboard-response","32","1724525","0.0-6.0-1.3","304","7.1.2020","18:38:28"
"506","<span style=""color:green"">Papier</span>","87","main","w","2","4","1","1","html-keyboard-response","34","1726796","0.0-6.0-1.4","304","7.1.2020","18:38:28"
"471","<span style=""color:green"">Diebstahl</span>","87","main","w","1","6","1","1","html-keyboard-response","36","1729085","0.0-6.0-1.5","304","7.1.2020","18:38:28"
"491","<span style=""color:purple"">Fenster</span>","68","main","d","2","11","2","1","html-keyboard-response","38","1731375","0.0-6.0-1.6","304","7.1.2020","18:38:28"
"704","<span style=""color:green"">Tod</span>","87","main","w","1","3","1","1","html-keyboard-response","40","1733636","0.0-6.0-1.7","304","7.1.2020","18:38:28"
"427","<span style=""color:blue"">Ebola</span>","65","main","a","1","14","0","1","html-keyboard-response","42","1735916","0.0-6.0-1.8","304","7.1.2020","18:38:28"
"604","<span style=""color:blue"">Stuhl</span>","65","main","a","2","3","0","1","html-keyboard-response","44","1738186","0.0-6.0-1.9","304","7.1.2020","18:38:28"
"561","<span style=""color:purple"">Pflanze</span>","68","main","d","2","2","2","1","html-keyboard-response","46","1740462","0.0-6.0-1.10","304","7.1.2020","18:38:28"
"601","<span style=""color:purple"">Panik</span>","68","main","d","1","10","2","1","html-keyboard-response","48","1742736","0.0-6.0-1.11","304","7.1.2020","18:38:28"
"713","<span style=""color:blue"">Lampe</span>","65","main","a","2","6","0","1","html-keyboard-response","50","1745015","0.0-6.0-1.12","304","7.1.2020","18:38:28"
"515","<span style=""color:blue"">Schuhe</span>","65","main","a","2","15","0","1","html-keyboard-response","52","1747286","0.0-6.0-1.13","304","7.1.2020","18:38:28"
"579","<span style=""color:purple"">Stadt</span>","68","main","d","2","14","2","1","html-keyboard-response","54","1749575","0.0-6.0-1.14","304","7.1.2020","18:38:28"
"525","<span style=""color:green"">Haus</span>","87","main","w","2","1","1","1","html-keyboard-response","56","1751855","0.0-6.0-1.15","304","7.1.2020","18:38:28"
"666","<span style=""color:purple"">Krieg</span>","68","main","d","1","4","2","1","html-keyboard-response","58","1754115","0.0-6.0-1.16","304","7.1.2020","18:38:28"
"745","<span style=""color:green"">Stein</span>","87","main","w","2","7","1","1","html-keyboard-response","60","1756400","0.0-6.0-1.17","304","7.1.2020","18:38:28"
"695","<span style=""color:green"">Prüfung</span>","87","main","w","1","9","1","1","html-keyboard-response","62","1758660","0.0-6.0-1.18","304","7.1.2020","18:38:28"
"584","<span style=""color:purple"">Bombe</span>","68","main","d","1","13","2","1","html-keyboard-response","64","1760926","0.0-6.0-1.19","304","7.1.2020","18:38:28"
"571","<span style=""color:green"">Flasche</span>","87","main","w","2","10","1","1","html-keyboard-response","66","1763205","0.0-6.0-1.20","304","7.1.2020","18:38:28"
"560","<span style=""color:purple"">Grab</span>","68","main","d","1","1","2","1","html-keyboard-response","68","1765476","0.0-6.0-1.21","304","7.1.2020","18:38:28"
"628","<span style=""color:purple"">Ekel</span>","68","main","d","1","7","2","1","html-keyboard-response","70","1767755","0.0-6.0-1.22","304","7.1.2020","18:38:28"
"554","<span style=""color:green"">Schal</span>","87","main","w","2","13","1","1","html-keyboard-response","72","1770026","0.0-6.0-1.23","304","7.1.2020","18:38:28"
"731","<span style=""color:purple"">Fahrzeug</span>","68","main","d","2","5","2","1","html-keyboard-response","74","1772287","0.0-6.0-1.24","304","7.1.2020","18:38:28"
"754","<span style=""color:blue"">Stress</span>","65","main","a","1","5","0","1","html-keyboard-response","76","1774555","0.0-6.0-1.25","304","7.1.2020","18:38:28"
"600","<span style=""color:blue"">Straße</span>","65","main","a","2","12","0","1","html-keyboard-response","78","1776825","0.0-6.0-1.26","304","7.1.2020","18:38:28"
"526","<span style=""color:blue"">Schrank</span>","65","main","a","2","9","0","1","html-keyboard-response","80","1779106","0.0-6.0-1.27","304","7.1.2020","18:38:28"
"702","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","82","1781365","0.0-6.0-1.28","304","7.1.2020","18:38:28"
"640","<span style=""color:green"">Hunger</span>","87","main","w","1","12","1","1","html-keyboard-response","84","1783645","0.0-6.0-1.29","304","7.1.2020","18:38:28"
"869","<span style=""color:blue"">Zerstörung</span>","65","main","a","1","8","0","1","html-keyboard-response","86","1785925","0.0-6.0-1.30","304","7.1.2020","18:38:28"
"697","<span style=""color:green"">Mord</span>","87","main","w","1","0","1","1","html-keyboard-response","88","1788192","0.0-6.0-1.31","304","7.1.2020","18:38:28"
