"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"993","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","7","65048","0.0-4.0-1.0","704","6.1.2020","16:14:42"
"693","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","9","67303","0.0-4.0-1.1","704","6.1.2020","16:14:42"
"427","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","11","69557","0.0-4.0-1.2","704","6.1.2020","16:14:42"
"607","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","13","71812","0.0-4.0-1.3","704","6.1.2020","16:14:42"
"808","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","15","74067","0.0-4.0-1.4","704","6.1.2020","16:14:42"
"754","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","17","76320","0.0-4.0-1.5","704","6.1.2020","16:14:42"
"940","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","19","78572","0.0-4.0-1.6","704","6.1.2020","16:14:42"
"789","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","21","80827","0.0-4.0-1.7","704","6.1.2020","16:14:42"
"445","<span style=""color:purple"">Stuhl</span>","68","main","d","2","2","2","1","html-keyboard-response","24","92046","0.0-6.0-1.0","704","6.1.2020","16:14:42"
"584","<span style=""color:purple"">Schuhe</span>","68","main","d","2","11","2","1","html-keyboard-response","26","94300","0.0-6.0-1.1","704","6.1.2020","16:14:42"
"449","<span style=""color:blue"">Fahrzeug</span>","65","main","a","2","3","0","1","html-keyboard-response","28","96552","0.0-6.0-1.2","704","6.1.2020","16:14:42"
"566","<span style=""color:purple"">Tür</span>","68","main","d","2","8","2","1","html-keyboard-response","30","98804","0.0-6.0-1.3","704","6.1.2020","16:14:42"
"608","<span style=""color:green"">Diebstahl</span>","87","main","w","1","6","1","1","html-keyboard-response","32","101056","0.0-6.0-1.4","704","6.1.2020","16:14:42"
"477","<span style=""color:green"">Flasche</span>","87","main","w","2","7","1","1","html-keyboard-response","34","103309","0.0-6.0-1.5","704","6.1.2020","16:14:42"
"472","<span style=""color:purple"">Stress</span>","65","main","d","1","7","2","0","html-keyboard-response","36","105561","0.0-6.0-1.6","704","6.1.2020","16:14:42"
"849","<span style=""color:purple"">Tod</span>","68","main","d","1","1","2","1","html-keyboard-response","39","111815","0.0-6.0-1.7","704","6.1.2020","16:14:42"
"null","<span style=""color:blue"">Stein</span>","-999","main","a","2","12","0","-999","html-keyboard-response","41","114068","0.0-6.0-1.8","704","6.1.2020","16:14:42"
"834","<span style=""color:green"">Schulden</span>","87","main","w","1","3","1","1","html-keyboard-response","44","120325","0.0-6.0-1.9","704","6.1.2020","16:14:42"
"566","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","46","122579","0.0-6.0-1.10","704","6.1.2020","16:14:42"
"571","<span style=""color:purple"">Panik</span>","68","main","d","1","10","2","1","html-keyboard-response","48","124832","0.0-6.0-1.11","704","6.1.2020","16:14:42"
"917","<span style=""color:green"">Grab</span>","87","main","w","1","0","1","1","html-keyboard-response","50","127085","0.0-6.0-1.12","704","6.1.2020","16:14:42"
"690","<span style=""color:green"">Hunger</span>","87","main","w","1","12","1","1","html-keyboard-response","52","129338","0.0-6.0-1.13","704","6.1.2020","16:14:42"
"668","<span style=""color:green"">Anker</span>","87","main","w","2","1","1","1","html-keyboard-response","54","131590","0.0-6.0-1.14","704","6.1.2020","16:14:42"
"601","<span style=""color:blue"">Bombe</span>","65","main","a","1","14","0","1","html-keyboard-response","56","133843","0.0-6.0-1.15","704","6.1.2020","16:14:42"
"906","<span style=""color:blue"">Haus</span>","65","main","a","2","0","0","1","html-keyboard-response","58","136095","0.0-6.0-1.16","704","6.1.2020","16:14:42"
"656","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","60","138347","0.0-6.0-1.17","704","6.1.2020","16:14:42"
"547","<span style=""color:green"">Lampe</span>","87","main","w","2","4","1","1","html-keyboard-response","62","140599","0.0-6.0-1.18","704","6.1.2020","16:14:42"
"598","<span style=""color:purple"">Pflanze</span>","68","main","d","2","14","2","1","html-keyboard-response","64","142852","0.0-6.0-1.19","704","6.1.2020","16:14:42"
"865","<span style=""color:blue"">Krieg</span>","65","main","a","1","11","0","1","html-keyboard-response","66","145106","0.0-6.0-1.20","704","6.1.2020","16:14:42"
"619","<span style=""color:green"">Stadt</span>","87","main","w","2","13","1","1","html-keyboard-response","68","147360","0.0-6.0-1.21","704","6.1.2020","16:14:42"
