"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"1021","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","7","16964","0.0-4.0-1.0","405","20.1.2020","13:43:12"
"678","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","9","19220","0.0-4.0-1.1","405","20.1.2020","13:43:12"
"573","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","11","21475","0.0-4.0-1.2","405","20.1.2020","13:43:12"
"638","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","13","23731","0.0-4.0-1.3","405","20.1.2020","13:43:12"
"875","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","15","25985","0.0-4.0-1.4","405","20.1.2020","13:43:12"
"667","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","17","28239","0.0-4.0-1.5","405","20.1.2020","13:43:12"
"587","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","19","30495","0.0-4.0-1.6","405","20.1.2020","13:43:12"
"556","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","21","32750","0.0-4.0-1.7","405","20.1.2020","13:43:12"
"1580","<span style=""color:green"">Hunger</span>","87","main","w","1","12","1","1","html-keyboard-response","24","35808","0.0-6.0-1.0","405","20.1.2020","13:43:12"
"618","<span style=""color:blue"">Stress</span>","65","main","a","1","2","0","1","html-keyboard-response","26","38060","0.0-6.0-1.1","405","20.1.2020","13:43:12"
"636","<span style=""color:purple"">Fahrzeug</span>","68","main","d","2","5","2","1","html-keyboard-response","28","40314","0.0-6.0-1.2","405","20.1.2020","13:43:12"
"615","<span style=""color:green"">Straße</span>","87","main","w","2","7","1","1","html-keyboard-response","30","42570","0.0-6.0-1.3","405","20.1.2020","13:43:12"
"1019","<span style=""color:blue"">Pflanze</span>","65","main","a","2","6","0","1","html-keyboard-response","32","44825","0.0-6.0-1.4","405","20.1.2020","13:43:12"
"701","<span style=""color:green"">Haus</span>","87","main","w","2","1","1","1","html-keyboard-response","34","47077","0.0-6.0-1.5","405","20.1.2020","13:43:12"
"614","<span style=""color:purple"">Stadt</span>","68","main","d","2","11","2","1","html-keyboard-response","36","49332","0.0-6.0-1.6","405","20.1.2020","13:43:12"
"711","<span style=""color:green"">Kälte</span>","87","main","w","1","9","1","1","html-keyboard-response","38","51585","0.0-6.0-1.7","405","20.1.2020","13:43:12"
"596","<span style=""color:purple"">Tod</span>","68","main","d","1","1","2","1","html-keyboard-response","40","53841","0.0-6.0-1.8","405","20.1.2020","13:43:12"
"713","<span style=""color:green"">Flasche</span>","87","main","w","2","13","1","1","html-keyboard-response","42","56098","0.0-6.0-1.9","405","20.1.2020","13:43:12"
"767","<span style=""color:blue"">Grab</span>","65","main","a","1","5","0","1","html-keyboard-response","44","58352","0.0-6.0-1.10","405","20.1.2020","13:43:12"
"693","<span style=""color:blue"">Bombe</span>","65","main","a","1","14","0","1","html-keyboard-response","46","60604","0.0-6.0-1.11","405","20.1.2020","13:43:12"
"822","<span style=""color:purple"">Lampe</span>","68","main","d","2","8","2","1","html-keyboard-response","48","62858","0.0-6.0-1.12","405","20.1.2020","13:43:12"
"776","<span style=""color:green"">Stein</span>","87","main","w","2","4","1","1","html-keyboard-response","50","65110","0.0-6.0-1.13","405","20.1.2020","13:43:12"
"779","<span style=""color:purple"">Diebstahl</span>","68","main","d","1","7","2","1","html-keyboard-response","52","67365","0.0-6.0-1.14","405","20.1.2020","13:43:12"
"650","<span style=""color:purple"">Schuhe</span>","68","main","d","2","14","2","1","html-keyboard-response","54","69619","0.0-6.0-1.15","405","20.1.2020","13:43:12"
"804","<span style=""color:green"">Krieg</span>","87","main","w","1","0","1","1","html-keyboard-response","56","71873","0.0-6.0-1.16","405","20.1.2020","13:43:12"
"676","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","58","74125","0.0-6.0-1.17","405","20.1.2020","13:43:12"
"739","<span style=""color:purple"">Panik</span>","68","main","d","1","10","2","1","html-keyboard-response","60","76379","0.0-6.0-1.18","405","20.1.2020","13:43:12"
"769","<span style=""color:blue"">Zerstörung</span>","65","main","a","1","11","0","1","html-keyboard-response","62","78634","0.0-6.0-1.19","405","20.1.2020","13:43:12"
"715","<span style=""color:blue"">Prüfung</span>","65","main","a","1","8","0","1","html-keyboard-response","64","80887","0.0-6.0-1.20","405","20.1.2020","13:43:12"
"568","<span style=""color:blue"">Papier</span>","65","main","a","2","0","0","1","html-keyboard-response","66","83141","0.0-6.0-1.21","405","20.1.2020","13:43:12"
"734","<span style=""color:green"">Schulden</span>","87","main","w","1","6","1","1","html-keyboard-response","68","85397","0.0-6.0-1.22","405","20.1.2020","13:43:12"
"803","<span style=""color:purple"">Mord</span>","68","main","d","1","4","2","1","html-keyboard-response","70","87651","0.0-6.0-1.23","405","20.1.2020","13:43:12"
"887","<span style=""color:blue"">Fenster</span>","65","main","a","2","15","0","1","html-keyboard-response","72","89903","0.0-6.0-1.24","405","20.1.2020","13:43:12"
"750","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","74","92156","0.0-6.0-1.25","405","20.1.2020","13:43:12"
"773","<span style=""color:blue"">Tür</span>","65","main","a","2","12","0","1","html-keyboard-response","76","94410","0.0-6.0-1.26","405","20.1.2020","13:43:12"
"851","<span style=""color:purple"">Anker</span>","68","main","d","2","2","2","1","html-keyboard-response","78","96663","0.0-6.0-1.27","405","20.1.2020","13:43:12"
"654","<span style=""color:blue"">Schrank</span>","87","main","a","2","9","0","0","html-keyboard-response","80","98916","0.0-6.0-1.28","405","20.1.2020","13:43:12"
"682","<span style=""color:green"">Ekel</span>","87","main","w","1","3","1","1","html-keyboard-response","83","105170","0.0-6.0-1.29","405","20.1.2020","13:43:12"
"647","<span style=""color:green"">Schal</span>","87","main","w","2","10","1","1","html-keyboard-response","85","107423","0.0-6.0-1.30","405","20.1.2020","13:43:12"
"565","<span style=""color:blue"">Stuhl</span>","65","main","a","2","3","0","1","html-keyboard-response","87","109675","0.0-6.0-1.31","405","20.1.2020","13:43:12"
