"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"1261","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","7","92868","0.0-4.0-1.0","703","6.1.2020","16:10:23"
"1182","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","9","95123","0.0-4.0-1.1","703","6.1.2020","16:10:23"
"null","<span style=""color:purple"">Verspätung</span>","-999","test","d","1","2","2","-999","html-keyboard-response","11","97376","0.0-4.0-1.2","703","6.1.2020","16:10:23"
"1006","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","14","103628","0.0-4.0-1.3","703","6.1.2020","16:10:23"
"1528","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","16","105882","0.0-4.0-1.4","703","6.1.2020","16:10:23"
"944","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","18","108134","0.0-4.0-1.5","703","6.1.2020","16:10:23"
"1532","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","20","110387","0.0-4.0-1.6","703","6.1.2020","16:10:23"
"944","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","22","112642","0.0-4.0-1.7","703","6.1.2020","16:10:23"
"1698","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","25","129839","0.0-6.0-1.0","703","6.1.2020","16:10:23"
"867","<span style=""color:green"">Ekel</span>","87","main","w","1","6","1","1","html-keyboard-response","27","132094","0.0-6.0-1.1","703","6.1.2020","16:10:23"
"790","<span style=""color:blue"">Stuhl</span>","65","main","a","2","3","0","1","html-keyboard-response","29","134345","0.0-6.0-1.2","703","6.1.2020","16:10:23"
"626","<span style=""color:blue"">Lampe</span>","65","main","a","2","6","0","1","html-keyboard-response","31","136599","0.0-6.0-1.3","703","6.1.2020","16:10:23"
"692","<span style=""color:blue"">Haus</span>","65","main","a","2","0","0","1","html-keyboard-response","33","138853","0.0-6.0-1.4","703","6.1.2020","16:10:23"
"null","<span style=""color:purple"">Schrank</span>","-999","main","d","2","8","2","-999","html-keyboard-response","35","141106","0.0-6.0-1.5","703","6.1.2020","16:10:23"
"697","<span style=""color:blue"">Stress</span>","65","main","a","1","2","0","1","html-keyboard-response","38","147360","0.0-6.0-1.6","703","6.1.2020","16:10:23"
"668","<span style=""color:blue"">Hunger</span>","65","main","a","1","11","0","1","html-keyboard-response","40","149612","0.0-6.0-1.7","703","6.1.2020","16:10:23"
"575","<span style=""color:blue"">Prüfung</span>","65","main","a","1","8","0","1","html-keyboard-response","42","151865","0.0-6.0-1.8","703","6.1.2020","16:10:23"
"585","<span style=""color:blue"">Schuhe</span>","65","main","a","2","12","0","1","html-keyboard-response","44","154120","0.0-6.0-1.9","703","6.1.2020","16:10:23"
"930","<span style=""color:purple"">Pflanze</span>","68","main","d","2","5","2","1","html-keyboard-response","46","156373","0.0-6.0-1.10","703","6.1.2020","16:10:23"
"709","<span style=""color:purple"">Mord</span>","68","main","d","1","1","2","1","html-keyboard-response","48","158627","0.0-6.0-1.11","703","6.1.2020","16:10:23"
"611","<span style=""color:purple"">Flasche</span>","68","main","d","2","11","2","1","html-keyboard-response","50","160879","0.0-6.0-1.12","703","6.1.2020","16:10:23"
"870","<span style=""color:green"">Papier</span>","87","main","w","2","1","1","1","html-keyboard-response","52","163131","0.0-6.0-1.13","703","6.1.2020","16:10:23"
"578","<span style=""color:green"">Straße</span>","87","main","w","2","7","1","1","html-keyboard-response","54","165382","0.0-6.0-1.14","703","6.1.2020","16:10:23"
