"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"642","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","7","24376","0.0-4.0-1.0","701","6.1.2020","16:00:32"
"450","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","9","26632","0.0-4.0-1.1","701","6.1.2020","16:00:32"
"493","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","11","28886","0.0-4.0-1.2","701","6.1.2020","16:00:32"
"567","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","13","31138","0.0-4.0-1.3","701","6.1.2020","16:00:32"
"402","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","15","33394","0.0-4.0-1.4","701","6.1.2020","16:00:32"
"629","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","17","35647","0.0-4.0-1.5","701","6.1.2020","16:00:32"
"774","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","19","37899","0.0-4.0-1.6","701","6.1.2020","16:00:32"
"553","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","21","40152","0.0-4.0-1.7","701","6.1.2020","16:00:32"
"781","<span style=""color:green"">Stress</span>","87","main","w","1","6","1","1","html-keyboard-response","24","43023","0.0-6.0-1.0","701","6.1.2020","16:00:32"
"609","<span style=""color:green"">Prüfung</span>","87","main","w","1","9","1","1","html-keyboard-response","26","45275","0.0-6.0-1.1","701","6.1.2020","16:00:32"
"573","<span style=""color:purple"">Kälte</span>","68","main","d","1","4","2","1","html-keyboard-response","28","47528","0.0-6.0-1.2","701","6.1.2020","16:00:32"
"743","<span style=""color:purple"">Ebola</span>","68","main","d","1","13","2","1","html-keyboard-response","30","49781","0.0-6.0-1.3","701","6.1.2020","16:00:32"
"624","<span style=""color:blue"">Hunger</span>","65","main","a","1","11","0","1","html-keyboard-response","32","52033","0.0-6.0-1.4","701","6.1.2020","16:00:32"
"757","<span style=""color:green"">Fenster</span>","87","main","w","2","13","1","1","html-keyboard-response","34","54287","0.0-6.0-1.5","701","6.1.2020","16:00:32"
"529","<span style=""color:green"">Fahrzeug</span>","87","main","w","2","4","1","1","html-keyboard-response","36","56539","0.0-6.0-1.6","701","6.1.2020","16:00:32"
"483","<span style=""color:green"">Schrank</span>","87","main","w","2","10","1","1","html-keyboard-response","38","58791","0.0-6.0-1.7","701","6.1.2020","16:00:32"
"770","<span style=""color:blue"">Stadt</span>","65","main","a","2","12","0","1","html-keyboard-response","40","61042","0.0-6.0-1.8","701","6.1.2020","16:00:32"
"1019","<span style=""color:green"">Schulden</span>","87","main","w","1","3","1","1","html-keyboard-response","42","63297","0.0-6.0-1.9","701","6.1.2020","16:00:32"
"668","<span style=""color:blue"">Haus</span>","65","main","a","2","0","0","1","html-keyboard-response","44","65551","0.0-6.0-1.10","701","6.1.2020","16:00:32"
"598","<span style=""color:purple"">Schal</span>","68","main","d","2","14","2","1","html-keyboard-response","46","67804","0.0-6.0-1.11","701","6.1.2020","16:00:32"
"626","<span style=""color:blue"">Stuhl</span>","65","main","a","2","3","0","1","html-keyboard-response","48","70056","0.0-6.0-1.12","701","6.1.2020","16:00:32"
"496","<span style=""color:blue"">Flasche</span>","65","main","a","2","9","0","1","html-keyboard-response","50","72310","0.0-6.0-1.13","701","6.1.2020","16:00:32"
"441","<span style=""color:blue"">Grab</span>","65","main","a","1","2","0","1","html-keyboard-response","52","74562","0.0-6.0-1.14","701","6.1.2020","16:00:32"
"646","<span style=""color:green"">Bombe</span>","87","main","w","1","12","1","1","html-keyboard-response","54","76815","0.0-6.0-1.15","701","6.1.2020","16:00:32"
"537","<span style=""color:blue"">Schuhe</span>","65","main","a","2","15","0","1","html-keyboard-response","56","79068","0.0-6.0-1.16","701","6.1.2020","16:00:32"
"617","<span style=""color:purple"">Straße</span>","68","main","d","2","8","2","1","html-keyboard-response","58","81321","0.0-6.0-1.17","701","6.1.2020","16:00:32"
"591","<span style=""color:purple"">Lampe</span>","68","main","d","2","11","2","1","html-keyboard-response","60","83572","0.0-6.0-1.18","701","6.1.2020","16:00:32"
"611","<span style=""color:green"">Papier</span>","65","main","w","2","1","1","0","html-keyboard-response","62","85828","0.0-6.0-1.19","701","6.1.2020","16:00:32"
"609","<span style=""color:purple"">Ekel</span>","68","main","d","1","7","2","1","html-keyboard-response","65","92081","0.0-6.0-1.20","701","6.1.2020","16:00:32"
"797","<span style=""color:purple"">Pflanze</span>","68","main","d","2","5","2","1","html-keyboard-response","67","94333","0.0-6.0-1.21","701","6.1.2020","16:00:32"
"858","<span style=""color:green"">Stein</span>","87","main","w","2","7","1","1","html-keyboard-response","69","96587","0.0-6.0-1.22","701","6.1.2020","16:00:32"
"620","<span style=""color:blue"">Panik</span>","65","main","a","1","14","0","1","html-keyboard-response","71","98840","0.0-6.0-1.23","701","6.1.2020","16:00:32"
"424","<span style=""color:blue"">Tür</span>","65","main","a","2","6","0","1","html-keyboard-response","73","101092","0.0-6.0-1.24","701","6.1.2020","16:00:32"
"613","<span style=""color:green"">Krieg</span>","87","main","w","1","0","1","1","html-keyboard-response","75","103344","0.0-6.0-1.25","701","6.1.2020","16:00:32"
"543","<span style=""color:purple"">Diebstahl</span>","68","main","d","1","10","2","1","html-keyboard-response","77","105596","0.0-6.0-1.26","701","6.1.2020","16:00:32"
"651","<span style=""color:green"">Krankheit</span>","87","main","w","1","15","1","1","html-keyboard-response","79","107850","0.0-6.0-1.27","701","6.1.2020","16:00:32"
"653","<span style=""color:blue"">Zerstörung</span>","65","main","a","1","8","0","1","html-keyboard-response","81","110102","0.0-6.0-1.28","701","6.1.2020","16:00:32"
"697","<span style=""color:purple"">Anker</span>","68","main","d","2","2","2","1","html-keyboard-response","83","112355","0.0-6.0-1.29","701","6.1.2020","16:00:32"
"762","<span style=""color:blue"">Mord</span>","65","main","a","1","5","0","1","html-keyboard-response","85","114608","0.0-6.0-1.30","701","6.1.2020","16:00:32"
"655","<span style=""color:purple"">Tod</span>","68","main","d","1","1","2","1","html-keyboard-response","87","116861","0.0-6.0-1.31","701","6.1.2020","16:00:32"
