"rt","stimulus","key_press","test_part","expected_response","v_cond","v_wordNum","v_colNum","v_correct","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time"
"639","<span style=""color:blue"">Unglück</span>","65","test","a","1","3","0","1","html-keyboard-response","7","7074415","0.0-4.0-1.0","501","14.1.2020","15:04:23"
"629","<span style=""color:blue"">Tuch</span>","65","test","a","2","0","0","1","html-keyboard-response","9","7076695","0.0-4.0-1.1","501","14.1.2020","15:04:23"
"534","<span style=""color:green"">Trauer</span>","87","test","w","1","1","1","1","html-keyboard-response","11","7078983","0.0-4.0-1.2","501","14.1.2020","15:04:23"
"570","<span style=""color:green"">Würfel</span>","87","test","w","2","1","1","1","html-keyboard-response","13","7081264","0.0-4.0-1.3","501","14.1.2020","15:04:23"
"624","<span style=""color:blue"">Unfall</span>","65","test","a","1","0","0","1","html-keyboard-response","15","7083553","0.0-4.0-1.4","501","14.1.2020","15:04:23"
"522","<span style=""color:purple"">Verspätung</span>","68","test","d","1","2","2","1","html-keyboard-response","17","7085845","0.0-4.0-1.5","501","14.1.2020","15:04:23"
"506","<span style=""color:purple"">Glas</span>","68","test","d","2","2","2","1","html-keyboard-response","19","7088134","0.0-4.0-1.6","501","14.1.2020","15:04:23"
"532","<span style=""color:blue"">Stift</span>","65","test","a","2","3","0","1","html-keyboard-response","21","7090428","0.0-4.0-1.7","501","14.1.2020","15:04:23"
"533","<span style=""color:blue"">Papier</span>","65","main","a","2","3","0","1","html-keyboard-response","24","7097204","0.0-6.0-1.0","501","14.1.2020","15:04:23"
"488","<span style=""color:purple"">Pflanze</span>","68","main","d","2","11","2","1","html-keyboard-response","26","7099483","0.0-6.0-1.1","501","14.1.2020","15:04:23"
"635","<span style=""color:blue"">Fenster</span>","65","main","a","2","15","0","1","html-keyboard-response","28","7101765","0.0-6.0-1.2","501","14.1.2020","15:04:23"
"446","<span style=""color:blue"">Prüfung</span>","65","main","a","1","11","0","1","html-keyboard-response","30","7104044","0.0-6.0-1.3","501","14.1.2020","15:04:23"
"722","<span style=""color:green"">Ebola</span>","87","main","w","1","15","1","1","html-keyboard-response","32","7106335","0.0-6.0-1.4","501","14.1.2020","15:04:23"
"449","<span style=""color:purple"">Straße</span>","68","main","d","2","14","2","1","html-keyboard-response","34","7108624","0.0-6.0-1.5","501","14.1.2020","15:04:23"
"550","<span style=""color:purple"">Grab</span>","68","main","d","1","7","2","1","html-keyboard-response","36","7110893","0.0-6.0-1.6","501","14.1.2020","15:04:23"
"566","<span style=""color:green"">Zerstörung</span>","87","main","w","1","9","1","1","html-keyboard-response","38","7113193","0.0-6.0-1.7","501","14.1.2020","15:04:23"
"613","<span style=""color:purple"">Krankheit</span>","68","main","d","1","1","2","1","html-keyboard-response","40","7115465","0.0-6.0-1.8","501","14.1.2020","15:04:23"
"918","<span style=""color:green"">Bombe</span>","87","main","w","1","0","1","1","html-keyboard-response","42","7117754","0.0-6.0-1.9","501","14.1.2020","15:04:23"
"600","<span style=""color:green"">Stress</span>","87","main","w","1","6","1","1","html-keyboard-response","44","7120045","0.0-6.0-1.10","501","14.1.2020","15:04:23"
"600","<span style=""color:blue"">Schulden</span>","65","main","a","1","8","0","1","html-keyboard-response","46","7122328","0.0-6.0-1.11","501","14.1.2020","15:04:23"
"679","<span style=""color:purple"">Tür</span>","68","main","d","2","5","2","1","html-keyboard-response","48","7124624","0.0-6.0-1.12","501","14.1.2020","15:04:23"
"620","<span style=""color:blue"">Schuhe</span>","65","main","a","2","0","0","1","html-keyboard-response","50","7126923","0.0-6.0-1.13","501","14.1.2020","15:04:23"
"674","<span style=""color:green"">Anker</span>","87","main","w","2","1","1","1","html-keyboard-response","52","7129196","0.0-6.0-1.14","501","14.1.2020","15:04:23"
"570","<span style=""color:green"">Krieg</span>","87","main","w","1","3","1","1","html-keyboard-response","54","7131477","0.0-6.0-1.15","501","14.1.2020","15:04:23"
"594","<span style=""color:green"">Haus</span>","87","main","w","2","4","1","1","html-keyboard-response","56","7133763","0.0-6.0-1.16","501","14.1.2020","15:04:23"
"793","<span style=""color:blue"">Mord</span>","65","main","a","1","2","0","1","html-keyboard-response","58","7136045","0.0-6.0-1.17","501","14.1.2020","15:04:23"
"475","<span style=""color:purple"">Lampe</span>","68","main","d","2","8","2","1","html-keyboard-response","60","7138334","0.0-6.0-1.18","501","14.1.2020","15:04:23"
"645","<span style=""color:blue"">Panik</span>","65","main","a","1","14","0","1","html-keyboard-response","62","7140623","0.0-6.0-1.19","501","14.1.2020","15:04:23"
"607","<span style=""color:purple"">Stein</span>","68","main","d","2","2","2","1","html-keyboard-response","64","7142902","0.0-6.0-1.20","501","14.1.2020","15:04:23"
"590","<span style=""color:purple"">Tod</span>","68","main","d","1","4","2","1","html-keyboard-response","66","7145194","0.0-6.0-1.21","501","14.1.2020","15:04:23"
"610","<span style=""color:green"">Stadt</span>","65","main","w","2","7","1","0","html-keyboard-response","68","7147477","0.0-6.0-1.22","501","14.1.2020","15:04:23"
"715","<span style=""color:green"">Schrank</span>","87","main","w","2","13","1","1","html-keyboard-response","71","7153775","0.0-6.0-1.23","501","14.1.2020","15:04:23"
"645","<span style=""color:blue"">Stuhl</span>","65","main","a","2","6","0","1","html-keyboard-response","73","7156065","0.0-6.0-1.24","501","14.1.2020","15:04:23"
"692","<span style=""color:green"">Diebstahl</span>","87","main","w","1","12","1","1","html-keyboard-response","75","7158344","0.0-6.0-1.25","501","14.1.2020","15:04:23"
"432","<span style=""color:purple"">Kälte</span>","68","main","d","1","13","2","1","html-keyboard-response","77","7160624","0.0-6.0-1.26","501","14.1.2020","15:04:23"
